Order ID,Order Date,CustomerName,State,City,Amount,PROFIT,Quantity,Category,Sub-Category
B-25601,01-04-2018,Bharat,Gujarat,Ahmedabad,1275,-1148,7,Furniture,Bookcases
B-25601,01-04-2018,Bharat,Gujarat,Ahmedabad,66,-12,5,Clothing,Stole
B-25601,01-04-2018,Bharat,Gujarat,Ahmedabad,8,-2,3,Clothing,Hankerchief
B-25601,01-04-2018,Bharat,Gujarat,Ahmedabad,80,-56,4,Electronics,Electronic Games
B-25602,01-04-2018,Pearl,Maharashtra,Pune,168,-111,2,Electronics,Phones
B-25602,01-04-2018,Pearl,Maharashtra,Pune,424,-272,5,Electronics,Phones
B-25602,01-04-2018,Pearl,Maharashtra,Pune,2617,1151,4,Electronics,Phones
B-25602,01-04-2018,Pearl,Maharashtra,Pune,561,212,3,Clothing,Saree
B-25602,01-04-2018,Pearl,Maharashtra,Pune,119,-5,8,Clothing,Saree
B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,1355,-60,5,Clothing,Trousers
B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,24,-30,1,Furniture,Chairs
B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,193,-166,3,Clothing,Saree
B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,180,5,3,Clothing,Trousers
B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,116,16,4,Clothing,Stole
B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,107,36,6,Clothing,Stole
B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,12,1,2,Clothing,Hankerchief
B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal,38,18,1,Clothing,Kurti
B-25604,03-04-2018,Divsha,Rajasthan,Jaipur,65,17,2,Clothing,T-shirt
B-25604,03-04-2018,Divsha,Rajasthan,Jaipur,157,5,9,Clothing,Saree
B-25605,05-04-2018,Kasheen,West Bengal,Kolkata,75,0,7,Clothing,Saree
B-25606,06-04-2018,Hazel,Karnataka,Bangalore,87,4,2,Clothing,Shirt
B-25607,06-04-2018,Sonakshi,Jammu and Kashmir,Kashmir,50,15,4,Clothing,Leggings
B-25608,08-04-2018,Aarushi,Tamil Nadu,Chennai,1364,-1864,5,Furniture,Tables
B-25608,08-04-2018,Aarushi,Tamil Nadu,Chennai,476,0,3,Furniture,Chairs
B-25608,08-04-2018,Aarushi,Tamil Nadu,Chennai,257,23,5,Clothing,Hankerchief
B-25608,08-04-2018,Aarushi,Tamil Nadu,Chennai,856,385,6,Electronics,Printers
